房源名称,户型,地址,地址,价格,面积,朝向
大十字 七街商品房 步梯5楼 600月,1室0厅,中粮大厦,工人路3号,600,50,朝东
平桥 平惠小区 水榭花都步梯3楼 简装 适合办公 自带家具,3室2厅,水榭花都,环东北路74号,1200,130,朝东
平桥 四一四 广惠国际 精装电梯房 1室2厅1卫 拎包入住,1室2厅,广惠国际,平桥南路26号,1400,60,朝东
万达广场旁公寓有大阳台采光好，有厨房，独立卫生间(房主直租),1室1厅,黔南汽车商贸城,斗篷山路269号,950,40,朝西
大十字御庭园两室两厅两卫精装修高层电梯房家电齐全拎包入户,2室2厅,御庭苑,剑江中路98号,1600,110,朝北
小十字女人街 两房两厅一卫 精装修大两房 家电齐全 拎包入住,2室2厅,筑匀大厦,广惠路407号,1500,105,朝东
平桥 宵夜街附近 三室一厅一卫 有空  步梯四楼 家电齐全,3室1厅,中房小区,平桥北路27号,800,90,朝东
交警大队附近 贵侯苑 3室2厅1卫1阳台 拎包入住 步梯4楼,3室2厅,华兴苑,斗篷山路47号,1500,138,朝东
开发区 紫竹苑 三室两厅一卫 家电家具齐配 拎包入住,3室2厅,紫竹苑,剑江大道中段,1200,100,朝东
平桥汽车站 四一四医院旁 步梯5楼 超大阳台 家电齐全,3室2厅,虹桥苑,江北路172号,1000,120,朝东
大十字 五月花旁 物资大厦  精装2房 有电梯 家电齐全,2室2厅,物资大厦,剑江北路38,1500,88,朝东
开发区观澜水岸，环境安静，交通方便,4室2厅,观澜水岸,观澜路79号,1800,160,朝南
都市金座 繁华地段 价格便宜 128平 2000月,3室2厅,都市金座,剑江中路71号,2100,126,东南
老山可乐 电梯小高层 精装修 单身公寓 800到1200随选,1室1厅,恒丰普罗旺斯,天乐路,800,40,朝东
州医院旁中大逸峰公寓有大飘窗，采光好有独立卫生间（免中介费）,1室0厅,中大逸峰,文峰路1号,850,28,朝西
大十字（市政府宿舍）合租，两室,3室1厅,市政府小区,剑江中路,500,85.3,南北
沙坝四一四医院旁(免中介费）北部印象酒店式公寓住房出租,1室0厅,北部印象,红叶路8号,900,22,南北
万达旁城市风景 三室两厅精装房 小区环境优雅 户型通透采光好,3室2厅,城市风景,嘉和路2号,1500,130,南北
大十字 中鑫大厦 1室1厅1卫 精装修家电齐全 拎包入住,1室1厅,中鑫大厦,工人路6号,1400,55,朝南
天源2013 斯维登度假酒店 柃包入住 家电齐全,1室0厅,天源2013,斗篷山路227号,1600,40,朝东
开发区转盘 临江雅苑 3室2厅2卫 电梯15楼 拎包入住,3室2厅,临江雅苑,平桥北路1号,1500,125,朝东
平桥汽车站 公路局宿舍楼  步梯3楼  2室1厅 家电齐全,2室1厅,利恒名苑(沸城100),剑江北路70号,700,80,朝东
大十字 中医院 御庭苑 空房出租 可办公 或自带家具入住,3室2厅,御庭苑,剑江中路98号,900,120,朝东
老山可乐菜场 20余套单身公寓电梯直达 带空调 单间 可短租,1室1厅,恒丰普罗旺斯,天乐路,800,40,朝东
大十字旁中鑫大厦公寓有厨房，带阳台采光好(房主直租),1室1厅,中鑫大厦,工人路6号,1100,38,东南
三中旁边栋 马鞍山A区1栋两室精装 房子干净值价 家具齐全,2室2厅,马鞍山小区林馨佳苑,大龙大道,1800,96,朝北
平桥 利恒名苑(沸城100) 3室2厅2卫 2000元月,3室2厅,利恒名苑(沸城100),剑江北路70号,2000,130.5,南北
黔中公寓 3室2厅1卫 1400元月 精装修 南北通透,3室2厅,黔中公寓,协府路10号,1400,110,朝南
老火车站 尚城幸福里 两室精装1500 全新家具家电拧包入住,2室1厅,尚城幸福里,云鹤路,1500,80,朝南
南州国际三中 B区 两室两厅一卫 家电齐全 拎包入住 风景优,2室2厅,马鞍山小区林馨佳苑,大龙大道,1300,90,朝东
州医院金麒麟三室一厅两卫高层电梯房适合做美容以及办公 有阳台,3室1厅,金麒麟,工人路38号,1800,147,朝东
大西门老三中广惠国际 两室两厅一卫 精装修 家电齐全 拎包入,2室2厅,广惠国际,平桥南路26号,1300,90,朝东
伯爵花园精装修电梯三房双卫仅要1800  拎包入住 全齐,3室2厅,伯爵花园,斗蓬山路12号,1800,125,南北
林智广场英伦国际电梯房精装修三房两厅两卫家电齐全拎包入住,3室2厅,英伦国际,小康路,1300,115,朝东
沙坝附近 鼎源幸福里 3室2厅1卫 精装修 家电齐全拎包入住,3室2厅,鼎源幸福里,七星路9号,1300,100,朝东
近州医院 东山隧道口 两房一厅一卫 家电家具齐全 步梯8楼,2室1厅,东山学苑,广惠路66号,800,80,朝东
平桥 鸿安家园 3室2厅2卫1阳台 家电齐全 柃包入住,3室2厅,鸿安家园,环东北路108号,1400,136,朝东
万达 沙坝  行政中心 丽景天城   温馨2室 家电齐全,2室2厅,丽景天城,汽车商贸城对面,1200,90,朝东
大十字  金海岸 客厅带空调 河景房  精装2室  家电齐全,2室2厅,金海岸大厦,剑江中路67号,1400,110,朝东
开发区彩虹桥 虹桥派出所门口 步梯5楼  4室 家电齐全,4室2厅,嘉和园,天池路2号,800,130,朝东
临江大厦单身公寓，市中心地段,1室0厅,临江大厦,河滨路,1500,40,朝南
临江雅苑  三室两厅两卫出租  拎包入住,3室2厅,临江雅苑,平桥北路1号,1600,120,南北
水岸名门  单身公寓出租  拎包入住,1室1厅,水岸铭门,西山大道,1100,50,南北
文峰公园牌坊   步梯二楼  两室  月租1000!,2室1厅,文峰家园,剑江中路36号,1000,55,南北
173温泉新城 3室2厅2卫 1200元月 电梯房,3室2厅,173新天地,210国道,1200,125,朝南
伯爵花园酒店式公寓。有个落地窗，采光好（房主直租）,1室0厅,伯爵花园,斗蓬山路12号,900,32,朝西
伯爵花园酒店式公寓，采光好，有厨房，独立卫生间(房主直租),1室0厅,伯爵花园,斗蓬山路12号,900,25,朝西
尚城幸福里 2室2厅1卫 1500元月 南北通透 精装修,2室2厅,尚城幸福里,云鹤路,1500,64,朝东
开发区(免中介费)剑江畔岛单身公寓住房出租,1室0厅,剑江半岛,杜鹃湖路,1000,30,南北
新都汇 水岸铭门旁  西城国际 2室1厅1卫 1600包物业,2室2厅,西城国际,西山大道,1600,80,朝东
市区 新都汇 西山新苑 精装3室2厅2卫 采光户型好,3室2厅,西山新苑,民族路1号,2100,142,朝南
附中旁法院宿舍三室两厅一卫120平米拎包入住5楼出租,3室2厅,东山怡景,协府路28号,1200,120,南北
清华苑三期 三室两厅两卫精装新房 品味人士看过来 物有所值,3室2厅,南州国际清华苑三期,外环东路,2100,115,朝东
文峰园 财富中心 后面十一小 两室一厅步梯四楼 家电齐全,2室1厅,尚城财富中心,剑江中路35号,800,80,朝东
平惠小区 3室1厅1卫 1000元月 配套齐全 88平,3室1厅,平惠小区,平桥北路4号,1000,88.4,东南
文峰园老火车站 尚城幸福里 2是两厅一卫  家电齐全拎包入住,2室2厅,尚城幸福里,云鹤路,1500,80,朝东
大十字 文峰园 尚城幸福里 两室一厅一卫 家电家具齐全新装修,2室1厅,尚城幸福里,云鹤路,1500,80,朝东
开发区 沁园村小区 3室2厅2卫1阳台 精装修 家电齐全,3室2厅,沁园村小区,剑江大道中段,1600,110.7,朝东
万达  开发区 城市风景 精装3室 小区环境安静，家电齐全,3室2厅,城市风景,嘉和路2号,1500,130,朝东
老山可乐 开发区久达新村步梯6楼 精装3室初次出租 家电齐全,3室2厅,久达新村,飞燕路14号,1000,100,朝东
州医院旁边 温馨 2室1厅1卫 1000元月 67平,2室1厅,金麒麟,工人路38号,1000,67,东南
小十字 中粮大夏  可做办公  商用,2室2厅,中粮大厦,工人路3号,1300,93,南北
可短租！老山可乐低楼层可押一付一 锅碗瓢盆俱全 领包入住,1室1厅,伯爵花园,斗蓬山路12号,1000,20,南北
万达广场楼上单身公寓出租1200,1室0厅,天源2013,斗篷山路227号,1200,45,朝西
南州国际，三中旁，青云湖旁边，三室拎包入住！,3室2厅,马鞍山小区林馨佳苑,大龙大道,1800,126,东南
老火车站 财富中心 复式楼 2室1厅 家电齐全 拎包入住,2室1厅,尚城财富中心,剑江中路35号,1500,90,朝东
老火车站 尚城财富中心loft公寓 户型好用可办公裔住一体,1室1厅,尚城财富中心,剑江中路35号,1500,48,南北
开发区，城市风景大三房，拎包入住！,3室2厅,城市风景,嘉和路2号,1800,130,东南
老三可乐电梯小高层 精装修单身公寓 价格8001200,1室1厅,紫竹苑,剑江大道中段,800,40,南北
城市风景  空房出租  押一付三  剑江半岛旁,3室2厅,城市风景,嘉和路2号,1350,121,东西
老山可乐菜场 小高层，电梯房  800起租  租期不限,1室1厅,紫竹苑,剑江大道中段,800,35,朝南
平桥彩虹桥 临江雅苑 三室两厅两卫 精装修带空调 拎包入住,3室2厅,临江雅苑,平桥北路1号,1500,125,朝东
南洲国际 马鞍山A区 三室两厅精装房 户型通透采光好,3室2厅,马鞍山小区林馨佳苑,大龙大道,1500,102,朝南
大十字 中鑫大厦旁三室两厅一卫 三空调  家电齐全 拎包入住,3室2厅,协和星苑,剑江中路118号,1400,110,朝东
开发区 彩虹桥长江花园 三房一厅一卫 家电家具齐全 步梯4楼,3室1厅,长江花园,剑江大道中段,1300,120,朝东
小围寨城南新家园 4室2厅1卫 1600元月家电家具齐全,4室2厅,城南新家园,独山路,1600,145,朝东
173  匀山樾  新装修 初次出租  可配齐所有家具家电,2室2厅,匀山樾,剑江北路120号,1600,100,朝南
开发区彩虹桥 兴亚大厦 步梯3楼精装3室 家电齐全 拎包入住,3室2厅,兴亚大厦,平桥北路1号,1000,120,朝东
彩虹桥碧云苑 三室两厅两卫出租 带停车位 河景房,3室2厅,碧云苑,平桥北路2号,1300,115,南北
平桥客车站旁边，三房，可办公，可住宿，好地段，好停车！,3室2厅,京都广场,平桥北路,1300,110,东南
文峰园尚城财富中心精装小复式楼 可做办公,1室1厅,尚城财富中心,剑江中路35号,1500,80,朝北
万达 桃溪园 3室1厅2卫 家电齐全 拎包入住,3室2厅,桃溪园,龙山大道171号,1200,134,朝东
大十字 五月花 电梯房9楼两房精装修 1500 房屋干净透亮,2室2厅,物资大厦,剑江北路38,1500,88,朝南
大十字物资大厦三室两厅两卫精装修双空调 超大空间可家住可办公,3室2厅,物资大厦,剑江北路38,1500,165,朝东
小围寨剑江新城三室两厅精装修电梯房家电齐全拎包入住有阳台,3室2厅,剑江新城,振华路,1000,120,朝东
老火车站 尚城壹品 单身公寓 1500带空调 新房出租,1室0厅,尚城壹品,剑江中路,1500,53,朝南
小十字 女人街 筑匀大厦 2室2厅 家电家具齐全,2室2厅,筑匀大厦,广惠路407号,1500,105,朝东
开发区 伯爵花园 一室一厅 精装修电梯21楼  家电齐全,1室1厅,伯爵花园,斗蓬山路12号,1500,40,朝东
四小  三中南州国际 清华苑三期 新装修 家电齐全 拎包入住,3室2厅,南州国际清华苑三期,外环东路,2100,124,朝东
伯爵花园   单身公寓出租精装修  空调家具家电齐全拎包入住,1室1厅,伯爵花园,斗蓬山路12号,1500,45,朝南
州医院 现代城空中花园 电梯四楼精装房 家具齐全,3室2厅,现代城,民族路37号,1500,135,朝东
中大逸峰单间带独立卫生间  有大飘窗 采光极好(房主直租),1室0厅,中大逸峰,文峰路1号,850,28,朝西
新都汇 水锦花城 3室2厅1卫 家电家具齐全 步梯3楼,3室2厅,水锦花城,环城西路36号,1200,125,朝东
东来尚城 两室精装 1000 家具家电齐全 花园小区,2室1厅,东来尚城,东来路,1000,95,朝南
平桥 怡盛原小区 电梯房 三室两厅两卫 家电齐全  拎包入住,3室2厅,怡盛园小区,剑江北路16号,1500,138,朝东
开发区彩虹桥 久达新村 三室一厅 步梯二楼 家电齐全拎包入住,3室1厅,久达新村,飞燕路14号,900,80,朝东
老火车站 文峰家园 两室一厅 步梯五楼 家电齐全 拎包入住,2室1厅,文峰家园,剑江中路36号,800,60,朝东
大十字 蔬菜公司 3室1厅1卫 家电齐全,3室1厅,蔬菜公司综合楼,新市街10号,1000,75,朝东
老火车站 尚城财富中心 精装修2室1厅2卫  家电齐全,2室1厅,尚城财富中心,剑江中路35号,1500,90,朝南
大十字 中鑫大厦旁 步梯3楼 三室一厅一卫 家电家具齐全,3室1厅,中鑫大厦,工人路6号,1200,105,朝东
伯爵花园 1室1厅1卫 1400元月 精装修 电梯房,1室1厅,伯爵花园,斗蓬山路12号,1400,38.8,东南
大十字 中鑫大厦一室户公寓 家具家电齐全 户型通透采光好,1室0厅,中鑫大厦,工人路6号,1400,55,南北
四一四医院 平桥转盘怡盛园三室电梯房 拧包入住 家具齐全,3室2厅,怡盛园小区,剑江北路16号,1500,127,朝南
七街工行宿舍  步梯三楼  出租  看房方便  有钥匙,2室2厅,新华路工商银行宿舍,新华路103号,900,78,朝南
老火车站 尚城壹品 3室2厅2卫 家具齐全 全新家电 精装修,3室2厅,尚城壹品,剑江中路,2300,103,朝东
出租万达广场附近精装修三室两厅两卫，家电家具齐全，拎包入住,3室2厅,银湖星城,毛尖大道中段,1800,140,南北
云宫花城步梯三室两厅两卫出租停车方便精装房,3室2厅,云宫花城,云宫路,1300,121,南北
伯爵花园酒店式公寓，有个阳台采光通风好（房主直租）,1室0厅,伯爵花园,斗蓬山路12号,750,25,朝西
临江大厦单身公寓 1600元月 电梯房 精装修 交通便利,1室1厅,临江大厦,河滨路,1600,44,西南
财富中心对面文峰商贸城  三室两厅一卫  月租1000!,3室2厅,文峰商贸城,剑江中路196号,1000,109,南北
四一四 平桥汽车站 怡盛园   电梯精装3房   家电齐全,3室2厅,怡盛园小区,剑江北路16号,1500,137,朝东
平桥414医院旁西苑大厦酒店式公寓，有落地窗(房主直租),1室0厅,西苑大厦,斗篷山路28号,750,20,朝西
开发区 伯爵花园 单身公寓 六楼电梯精装修 拎包入住,1室0厅,伯爵花园,斗蓬山路12号,1100,35,朝东
小十字  七街  工行宿舍两室一厅  78平 租金800,2室1厅,明珠广场,剑江中路90号,800,78,南北
伯爵花园精装单身公寓，家具家电齐全，可以拎包入住！,1室1厅,伯爵花园,斗蓬山路12号,1380,38,南北
大十字中鑫大厦单间带独立卫生间出租,1室0厅,中鑫大厦,工人路6号,700,34,朝南
东来尚城小区电梯精装两室两厅出租图片实拍拎包入住,2室2厅,东来尚城,东来路,1600,85,南北
老山可乐宵夜摊后面 三室两厅 1000  步梯四楼,3室2厅,紫竹苑,剑江大道中段,1000,97,朝南
水岸名门  精装修新房  单身公寓第一次出租家具家电齐全,1室1厅,水岸铭门,西山大道,1600,45,朝南
石板街坡顶三街街口步梯2楼两室一厅的整套出租图片实拍拎包入住,2室2厅,金鹏花园,广惠路270号,800,80,南北
文峰小区三室两厅房屋出租图片实拍拎包入住,3室2厅,文峰商贸城,剑江中路196号,1200,99,南北
平桥 汽车进站口 2室2厅1卫 家电齐全  步梯6楼,2室2厅,平桥商品房,平桥南路,800,70,朝东
老火车站尚城财富中心   东江小区 2室2厅1卫 900元月,2室2厅,东江小区,剑江南路2号,900,86,东南
万达 银湖星城 精装修3室2厅2卫1阳台 家电齐全 采光好,3室2厅,银湖星城,毛尖大道中段,1600,120,朝东
万达附近 滨江壹号四室精装 1500下定可配齐家具家电,4室1厅,碧桂园滨江一号,西山大道,1500,93,朝南
七小旁边 公路局宿舍 两室700步梯三楼 家具齐全 有门卫,2室1厅,汽运公司宿舍,剑江北路61号,700,89,朝西
办公佳 州医院后门 剑峰小区大户型三房 采光好空间大,3室2厅,剑峰小区,环东中路256号,1800,130,西南
汇悦新天地  单身公寓出租  拎包入住,1室1厅,汇悦新天地,斗篷山路100号,1400,59,南北
水岸公馆电梯三室两厅房屋出租图片实拍拎包入住,3室2厅,水岸公馆,斗篷山路113号,1600,108,南北
平惠小区 3室1厅1卫 1000元月 89平,3室1厅,平惠小区,平桥北路4号,1000,89,朝南
观澜水岸 2室2厅1卫 1600元月 配套齐全 精装修,2室2厅,观澜水岸,观澜路79号,1600,92,南北
百业大厦 3室2厅2卫 1300元月 配套齐全 精装修,3室2厅,百业大厦,民族路6号,1300,130,朝西
西苑大厦电梯空房出租图片实拍办公方便,3室2厅,西苑大厦,斗篷山路28号,1700,130,南北
三小门口电梯底层三室两厅两卫145平米空房出租,3室2厅,御庭苑,剑江中路98号,1500,145,南北
东山怡景附近  拎包入住 出行方便,2室1厅,东山怡景,协府路28号,1000,80,朝南
伯爵花园 3室2厅2卫 1800元月 精装修 125平,3室2厅,伯爵花园,斗蓬山路12号,1800,125,朝东
急租 市区精装三房 装修未入住,3室2厅,尚城壹品,剑江中路,2200,102,东南
汇通佳苑 3室2厅2卫 1600元月 113平 豪华装修,3室2厅,汇通佳苑,剑江北路72号,1600,111,南北
伯爵花园 3室2厅1卫 1500元月 南北通透 电梯房,3室2厅,伯爵花园,斗蓬山路12号,1500,99,南北
云都广场旁，交警队宿舍，可以停车！,3室2厅,云都广场,剑江北路81号,1000,150,东西
老山可乐永辉超市楼上电梯房出租。,3室2厅,恒丰普罗旺斯,天乐路,1500,116,朝南
开发区(免中介费）剑江畔酒店式公寓住房出租,1室0厅,剑江半岛,杜鹃湖路,750,18,南北
西苑大厦 办公住房   美容培训 等都可。随时看,4室2厅,西苑大厦,斗篷山路28号,2800,208,朝东
（房主直租）师院附近电信大楼对面,1室0厅,锦江豪苑,斗篷山路179号,650,15,朝东
水岸铭门两室一厅一卫出租家电家具齐全拎包入住,2室1厅,水岸铭门,西山大道,1600,98,南北
东山学院 整租1300元 看房方便 拎包入住,1室1厅,东山学苑,广惠路66号,1300,45,朝南
仙和小区三房整租 长租可议价,3室1厅,仙和小区,环东南路,800,90,朝南
伯爵对面龙彩花园小区步梯2楼三室两厅两卫出租图片实拍拎包入住,3室2厅,龙彩花园,兰香巷,1500,130,南北
水锦花城3房2厅拎包入住（接送看房）,3室2厅,水锦花城,环城西路36号,1200,100,南北
万达广场天源2013单身公寓出租,1室0厅,天源2013,斗篷山路227号,1200,30,南北
临江大厦 大十字市区繁华地段交通方便周边配套全 临河,2室1厅,临江大厦,河滨路,1200,37,南北
大十字步梯4楼两厅整套出租700一月,2室2厅,匀中大厦,剑江中路84号,700,70,南北
老山可乐星空影城附近步梯4楼两室两厅出租,2室2厅,黎筑金色城邦,龙山大道44号,1000,90,南北
平桥建贸大厦2房2厅拎包入住（接送看房）,2室2厅,建贸大厦,平桥北路,1200,100,东西
市中心，精装两房，手慢就不在啦,2室2厅,西城国际,西山大道,1600,80,朝北
星力城附近州医院后门电梯精装宽敞三室拎包入住！,3室2厅,东坡经典时代,民族路,1700,136,朝西
州医院后门剑锋小区步梯中层三室两厅精装房出租,3室2厅,剑锋小区瑞林苑,振华路,1400,99,南北
尚城幸福里 2室1厅1卫 1600元月 精装修 电梯房,2室1厅,尚城幸福里,云鹤路,1600,100,东北
都匀二小南校区，云宫花成大三房出租,3室2厅,云宫花城,云宫路,1200,108,东西
伯爵三室两厅两卫精装修出租,3室2厅,伯爵花园,斗蓬山路12号,2200,125.6,朝南
万达附近 师院后门 观澜水岸两室精装 1500 家具家电齐全,2室2厅,观澜水岸,观澜路79号,1500,92,朝北
黔南汽车商贸城 合租  630元月 精装修 35平,4室2厅,黔南汽车商贸城,斗篷山路269号,630,35,朝南
锦绣家园3房2厅拎包入住（接送看房）,3室2厅,锦绣家园,协府路13号,1500,136,东西
老山可乐普罗旺斯旁边电梯三室两厅一卫出租,3室2厅,全欣大厦,天乐路10号,1600,108,南北
伯爵花园三室两厅一卫出租家电家具齐全拎包入住,3室1厅,伯爵花园,斗蓬山路12号,1600,98,朝南
大十字步梯4楼三室两厅出租图片实拍拎包入住,3室2厅,匀中大厦,剑江中路84号,1000,121,南北
沙坝，北出口，两室电梯拎包住！,2室1厅,北城财阜,匀杨大道,1300,90,东南
京都广场 2室2厅1卫 1500元月 电梯房 精装修,2室2厅,京都广场,平桥北路,1500,76,南北
嘉和园小区三室两厅两卫出租图片实拍停车方便,3室2厅,嘉和园,天池路2号,1000,118,南北
伯爵对面全欣大厦电梯三室两厅两卫出租图片实拍拎包入住,3室2厅,全欣大厦,天乐路10号,1600,130,南北
三室两厅两电梯房仅租1000元每月！,3室2厅,丽景天城,汽车商贸城对面,1000,120,朝东
老火车站尚城幸福里精装两室全新装修从未入住过1600一个月,2室2厅,尚城幸福里,云鹤路,1600,70,南北
南国丽景  州医院后面 三室两厅出租！,3室2厅,南国丽景,环东北路15号,1200,113,东南
城南新家园 4室2厅2卫 1800元月 精装修 148平,4室2厅,城南新家园,独山路,1800,148,东北
沙坝北出口北城财阜两室拎包入住！楼下有菜场超市生活便利！,2室2厅,北城财阜,匀杨大道,1300,90,朝东
平桥414医院旁边大户型，三室两厅两卫，采光好，交通方便,3室2厅,虹桥苑,江北路172号,1000,145,东西
彩虹桥长江花园  三室两厅中等装修  家具家电齐全l拎包入住,3室2厅,长江花园,剑江大道中段,1000,110,朝南
云宫华花城 三室两厅两卫  出租,3室2厅,云宫花城,云宫路,1200,110,东西
百业大厦 3室2厅2卫 1300元月 精装修 130平,3室2厅,百业大厦,民族路6号,1300,130,东北
水岸铭门  单身公寓 拎包入住 800到1000每月！,1室0厅,水岸铭门,西山大道,800,30,南北
尚城幸福里周边步梯房 两室一厅 拎包入住 采光好,2室1厅,尚城幸福里,云鹤路,900,70,西北
平桥京都广场   三室两厅两卫 精装修家具家电齐全拎包入住,3室2厅,京都广场,平桥北路,1600,120,南北
新火车站聚林世纪城小区电梯两室两厅出租,2室2厅,聚林世纪城,剑江南路181号,1200,85,南北
租 温馨3室 伯爵对面 老山可乐 全欣大厦 1500元月,3室2厅,全欣大厦,天乐路10号,1500,108,朝东
平桥客运总站附近步梯4楼带免费停车位,3室2厅,鹏达物资大厦,剑江北路38,1300,148,南北
新上！小十字花欣大厦电梯房！适合办公！地段好！户型宽敞！,3室2厅,华欣大厦,广惠路438号,2000,168,朝南
东山学苑单身公寓，交通方便,1室0厅,东山学苑,广惠路66号,1000,40,朝南
全欣大厦 3室2厅2卫 1600元月 精装修 电梯房,3室2厅,全欣大厦,天乐路10号,1600,108,东北
碧桂园滨江一号 5室2厅2卫 2000元月 136平,5室2厅,碧桂园滨江一号,西山大道,2000,135,南北
水岸公馆电梯三室两厅两卫出租图片实拍拎包入住,3室2厅,水岸公馆,斗篷山路113号,2300,125,南北
成熟小区，核心地段，上学就医购物方便！,3室2厅,培育大厦,培育巷1号,1300,137,东南
江景三房，精装修干净卫生，家电家具齐拎包入住,3室2厅,京都广场,平桥北路,1800,125,南北
水岸名门 一室一厨一卫 冰箱洗衣机等800起 随时看房,1室0厅,水岸铭门,西山大道,800,15,南北
东来尚城整层出租，可以作为培训或洒店,6室1厅,东来尚城,东来路,6200,408,东西
碧桂园滨江一号电梯大户型空房出租图片实拍办公非常方便,5室2厅,碧桂园滨江一号,西山大道,2500,180,南北
平桥附近步梯两室两厅出租图片实拍拎包入住,2室2厅,平惠小区,平桥北路4号,900,75,南北
南州国际三室两厅带阳台 家具家电齐全 拎包入住,3室2厅,南州国际清华苑,青云湖大道,1700,100,朝南
南州国际马鞍山小区精装3房两厅两卫，可拎包入住！！,3室2厅,马鞍山小区林馨佳苑,大龙大道,1680,123,朝南
伯爵花园旁金色城邦公寓，有厨房，落地窗（房主直租）,1室0厅,黎筑金色城邦,龙山大道44号,880,26,朝西
水岸绿洲   三室两厅可短租精致装修家具家电齐全拎包入住,3室2厅,水岸绿洲,斗篷山路189号,1600,120,南北
城市风景  靠路边方便打广告 两室两厅中等装修有家具电器,2室2厅,嘉和城市风景,嘉和路2号,1200,89,南北
万达广场 可短租三室两厅两卫精致装修 户型方正办公居家都可以,3室2厅,天源2013,斗篷山路227号,2200,136,朝南
大十字旁七街二楼3房2室1厅套房，采光好，交通便利,3室2厅,东方明珠,民族路,1000,108,朝西
东山隧道旁边，电梯两室，拎包入住！,2室1厅,东山学苑,广惠路66号,1300,88,东南
伯爵花园  单身公寓出租精装修 家具家电齐全拎包入住,1室1厅,伯爵花园,斗蓬山路12号,1500,50,南北
兴亚大厦 3室1厅2卫 1100元月 南北通透 精装修,3室1厅,兴亚大厦,平桥北路1号,1100,170,朝西
四室两厅一卫  价格美丽 只要800即可入住,4室2厅,市医院宿舍,协府路17号,800,100,东西
万达汇悦新天地  两室一厅精装修空调家具家电齐全拎包入住,2室1厅,汇悦新天地,斗篷山路100号,1600,78,南北
马鞍山116平米三房毛坯出租1100元月,3室2厅,马鞍山小区林馨佳苑,大龙大道,1100,116,东南
平桥汽车站对面云都广场套房，采光好，价格优惠,3室1厅,云都广场,剑江北路81号,1380,108,东西
银湖新城153平米4室2厅2卫中装家电齐全2000元,4室2厅,银湖新城,毛尖大道中段,2000,153,南北
红大院实验三小对面，红叶小区，  两室一厅一卫，拎包入住！,2室1厅,红叶小区,绿茵湖大道中段,1200,100,东南
大十字现代城 三房低价出租 拎包入住,3室2厅,现代城,民族路37号,1500,135,南北
东坡花园 2室1厅1卫 1000元月 90平,2室1厅,东坡花园,环东中路113号,1000,90,朝西
聚林广场三室一厅一卫出租1300     可以配床   沙发,3室1厅,聚林世纪城,剑江南路181号,1300,87,南北
大十字天桥，适合办公居住，三室好地段！,3室2厅,匀中大厦,剑江中路84号,1600,125,东北
小十字  中心位置 交通方便,3室1厅,明珠广场,剑江中路90号,800,90,东南
马鞍山青云湖这边，可办公，可住宿，第一次出租！,3室2厅,马鞍山小区林馨佳苑,大龙大道,1500,120,东南
都匀一号，两室出租，拎包入住！,2室1厅,都匀1号,斗篷山路277号,1200,80,东南
沙坝，北出口，三室精装房，拎包入住，出租！,3室2厅,北城财阜,匀杨大道,1600,130,东南
开发区万达旁，两室拎包入住，目前停车免费！,2室1厅,御府湾,绿茵湖大道,1400,80,东南
电信大楼对面锦江豪苑,5室2厅,锦江豪苑,斗篷山路179号,2300,206,朝东
万达旁，青禾家具楼上，电梯三室带空调拎包入住！,3室2厅,龙山豪景,斗篷山路96号,1800,120,南北
碧桂园滨江一号   四室两厅  精装修 空房没有家具,4室2厅,碧桂园滨江一号,西山大道,1500,120,南北
州医院后门东坡花园 步梯高层 家具家电齐全 带电脑宽带机顶盒,3室2厅,东坡花园,环东中路113号,1500,120,朝南
老山可乐，夜宵摊，三室两厅一卫一厨，拎包入住！,3室2厅,紫竹苑,剑江大道中段,1500,105,东南
173碧桂园，四室拎包入住，小区环境好！,4室2厅,碧桂园凤凰城(都匀),绿茵湖大道,1300,140,东南
伯爵花园 1室1厅1卫 1300元月 精装修 南北通透,1室1厅,伯爵花园,斗蓬山路12号,1200,45.7,南北
都匀市（五街邮政宿舍）两室两厅一卫步梯房6楼出租,2室2厅,环东南路127号25栋住宅楼,环东南路127号,600,70,东西
碧桂园滨江一号 4室2厅2卫 2000元月 116平,4室2厅,碧桂园滨江一号,西山大道,2000,116,东南
新都汇购物广场对面水上体育中心旁 电信小区两室一厅租1000,2室1厅,电信小区,河滨路,1000,65,东南
急租！小十字，州医院，金麒麟，三室，可办公，可住人！,3室2厅,金麒麟,工人路38号,1600,125,西北
碧桂园旁红叶小区   三室两厅中等装修家具家电齐全 拎包入住,3室2厅,红叶小区,绿茵湖大道中段,1300,116,南北
急租水岸名门单身公寓,1室1厅,水岸铭门,西山大道,1100,49,南北
急租 临江大厦 精装单身公寓 1600月 拎包入住,1室1厅,临江大厦,河滨路,1600,60,朝西
马鞍山安置房A区 3室2厅1卫 1800元月 电梯房,3室2厅,马鞍山小区林馨佳苑,大龙大道,1800,100,朝东
大坪，电梯三室好房，拎包入住，带空调！,3室2厅,幸福小区,德远路,1500,135,东南
东山隧道这边，三室拎包入住，装得还可以！,3室2厅,东山上品,广惠路47号,1300,130,东南
小十字  三室两厅 简单装修 家具家电齐全拎包入住,3室2厅,中鑫大厦,工人路6号,1000,110,朝南
东山上品 三室二厅 户型方正 中等装修 家具家电齐全 拎包入,3室2厅,东山上品,广惠路47号,1300,100,南北
大十字，电梯三室拎包入住！,3室2厅,都市金座,剑江中路71号,1800,130,东南
